date,ad_id,spend_usd,spend_krw,impressions,clicks,conversions,attributed_revenue_usd,attributed_revenue_krw,roas
2026-02-25 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-02-26 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-21 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-16 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-13 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-08 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-03 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-02-14 00:00:00,1854724100149617,0,,0,0,0,0,,
2026-02-14 00:00:00,1854723336904753,0,,0,0,0,0,,
2026-02-18 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-04-16 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-17 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-04-06 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-27 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-22 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-30 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-20 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-03-31 00:00:00,1854723183588354,0,,0,0,0,0,,
2026-05-06 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-05-16 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-05-01 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-04-17 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-05-16 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-05-13 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-05-01 00:00:00,1854723859011826,0,,0,0,0,0,,
2026-04-24 00:00:00,1854723336904753,0,,0,0,0,0,,
2026-05-10 00:00:00,1854723183588354,0,,0,0,0,0,,
2026-04-29 00:00:00,1854723859013762,0,,0,0,0,0,,
2026-05-01 00:00:00,1854723183588354,0,,0,0,0,0,,
2026-05-10 00:00:00,1854723859013762,0,,0,0,0,0,,
